subject,session,run,trial_nr,n,response,range,response_time
01,2,2,3,14.0,16.0,wide,0.5168362999975216
01,2,2,4,21.0,,wide,
01,2,2,5,39.0,33.0,wide,1.8357022999989567
01,2,2,6,24.0,23.0,wide,0.8174715000022843
01,2,2,7,18.0,20.0,wide,2.0853437000005215
01,2,2,8,15.0,18.0,wide,0.6505433000020275
01,2,2,9,29.0,26.0,wide,1.6514945999988413
01,2,2,10,30.0,31.0,wide,1.6346823000021686
01,2,2,11,23.0,25.0,wide,1.3839302000014868
01,2,2,12,29.0,28.0,wide,1.4345291000026918
01,2,2,13,35.0,32.0,wide,0.3503464000023086
01,2,2,14,16.0,18.0,wide,0.3167357999991509
01,2,2,15,32.0,27.0,wide,1.5016748000016378
01,2,2,16,16.0,17.0,wide,0.0832596000000194
01,2,2,17,37.0,36.0,wide,1.3679245999992418
01,2,2,18,22.0,22.0,wide,1.418209000003117
01,2,2,19,16.0,19.0,wide,1.1016739000006055
01,2,2,20,37.0,33.0,wide,0.3671175999988918
01,2,2,21,11.0,11.0,wide,1.4850055999995675
01,2,2,22,12.0,15.0,wide,2.051769099998637
01,2,2,23,21.0,20.0,wide,0.3502346999994188
01,2,2,24,19.0,24.0,wide,0.3167018999993161
01,2,2,25,10.0,13.0,wide,1.4277709999987565
01,2,2,26,21.0,28.0,wide,0.5139873000007356
01,2,2,27,40.0,36.0,wide,1.4642875999998068
01,2,2,28,27.0,29.0,wide,2.0189745999996376
01,2,2,29,22.0,27.0,wide,1.6346441999994568
01,2,2,30,23.0,29.0,wide,1.401465300001291
01,2,3,1,29.0,27.0,wide,1.0850080999989586
01,2,3,2,39.0,35.0,wide,1.7683921999996528
01,2,3,3,11.0,10.0,wide,0.1668704000003344
01,2,3,4,11.0,11.0,wide,0.0168238999976892
01,2,3,5,38.0,33.0,wide,1.1682011000011698
01,2,3,6,37.0,30.0,wide,0.2503772000018216
01,2,3,7,39.0,31.0,wide,1.2183772999997018
01,2,3,8,29.0,31.0,wide,1.5512521999989983
01,2,3,9,24.0,27.0,wide,0.9513168000012228
01,2,3,10,21.0,26.0,wide,0.8000433999986853
01,2,3,11,37.0,32.0,wide,1.7018085999989123
01,2,3,12,25.0,24.0,wide,0.1300794999988284
01,2,3,13,40.0,33.0,wide,1.4143700999993598
01,2,3,14,13.0,13.0,wide,0.4009632999986934
01,2,3,15,11.0,15.0,wide,1.1334272999993118
01,2,3,16,40.0,31.0,wide,1.0507051999993564
01,2,3,17,34.0,35.0,wide,0.4505523000007088
01,2,3,18,11.0,16.0,wide,1.651977399997122
01,2,3,19,16.0,20.0,wide,1.667267400000128
01,2,3,20,17.0,23.0,wide,0.7172038999997312
01,2,3,21,31.0,31.0,wide,1.517302299998846
01,2,3,22,29.0,31.0,wide,0.3506044999994628
01,2,3,23,16.0,17.0,wide,1.6684922999993432
01,2,3,24,40.0,36.0,wide,2.0359141000008094
01,2,3,25,19.0,27.0,wide,0.1500426999991759
01,2,3,26,11.0,15.0,wide,1.3847768000014185
01,2,3,27,34.0,33.0,wide,1.0841892999997071
01,2,3,28,21.0,,wide,
01,2,3,29,10.0,17.0,wide,0.3335274999990361
01,2,3,30,31.0,33.0,wide,0.8170634999987669
01,2,4,1,15.0,18.0,wide,1.1180725999984134
01,2,4,2,15.0,21.0,wide,1.6347295999985365
01,2,4,3,21.0,29.0,wide,1.2183448999967368
01,2,4,4,39.0,37.0,wide,0.8175569000013638
01,2,4,5,28.0,31.0,wide,1.8851125000001048
01,2,4,6,38.0,35.0,wide,1.217550699999265
01,2,4,7,19.0,24.0,wide,1.3682828999990306
01,2,4,8,34.0,34.0,wide,0.200188300001173
01,2,4,9,30.0,28.0,wide,1.599718600002234
01,2,4,10,25.0,30.0,wide,0.6508141999984218
01,2,4,11,28.0,31.0,wide,1.6183681999973487
01,2,4,12,36.0,36.0,wide,1.0305518000022855
01,2,4,13,22.0,27.0,wide,1.4352084999991348
01,2,4,14,14.0,21.0,wide,0.7338231000030646
01,2,4,15,12.0,19.0,wide,0.4335934000009729
01,2,4,16,34.0,31.0,wide,1.7180465000019467
01,2,4,17,37.0,35.0,wide,1.0166458999992756
01,2,4,18,28.0,29.0,wide,2.085077600000659
01,2,4,19,34.0,33.0,wide,0.9342897000024096
01,2,4,20,39.0,39.0,wide,1.4677523999998812
01,2,4,21,28.0,26.0,wide,1.6018965000002936
01,2,4,22,23.0,26.0,wide,1.852150700000493
01,2,4,23,24.0,24.0,wide,1.1514796000010392
01,2,4,24,38.0,34.0,wide,2.152753100002883
01,2,4,25,40.0,35.0,wide,1.384458699998504
01,2,4,26,39.0,35.0,wide,0.6338629999991099
01,2,4,27,28.0,25.0,wide,1.852045800002088
01,2,4,28,35.0,33.0,wide,1.4847625000002154
01,2,4,29,17.0,20.0,wide,0.7335894999996526
01,2,4,30,23.0,22.0,wide,0.3161896000019624
01,2,5,1,16.0,16.0,narrow,0.6305233999992197
01,2,5,2,15.0,20.0,narrow,1.4512175999989267
01,2,5,3,15.0,21.0,narrow,1.0472375999997894
01,2,5,4,14.0,19.0,narrow,2.001721799999359
01,2,5,5,24.0,25.0,narrow,0.2335047999986272
01,2,5,6,22.0,25.0,narrow,0.7507088000020303
01,2,5,7,15.0,19.0,narrow,1.0341711000000942
01,2,5,8,22.0,22.0,narrow,1.58514439999999
01,2,5,9,19.0,22.0,narrow,0.9178887000016402
01,2,5,10,12.0,16.0,narrow,1.4686091000003216
01,2,5,11,15.0,19.0,narrow,0.5003819999983534
01,2,5,12,14.0,19.0,narrow,0.1169001000016578
01,2,5,13,13.0,16.0,narrow,1.2356169000013324
01,2,5,14,23.0,25.0,narrow,0.8680454000023019
01,2,5,15,25.0,24.0,narrow,1.1679554999973334
01,2,5,16,20.0,22.0,narrow,0.1170639000010851
01,2,5,17,17.0,19.0,narrow,0.2503017999988515
01,2,5,18,16.0,19.0,narrow,0.8176276999984111
01,2,5,19,15.0,17.0,narrow,1.1349415999975463
01,2,5,20,25.0,25.0,narrow,1.5686674999997194
01,2,5,21,16.0,21.0,narrow,2.202131300000474
01,2,5,22,19.0,18.0,narrow,0.6672054000009666
01,2,5,23,14.0,17.0,narrow,1.384393500000442
01,2,5,24,10.0,13.0,narrow,0.5804629999984172
01,2,5,25,25.0,23.0,narrow,1.3981659000019135
01,2,5,26,21.0,21.0,narrow,0.7342372000020987
01,2,5,27,25.0,21.0,narrow,0.9176955000002636
01,2,5,28,18.0,22.0,narrow,0.2834483999977237
01,2,5,29,15.0,18.0,narrow,1.6018375999992711
01,2,5,30,18.0,20.0,narrow,0.1833874000003561
01,2,6,1,19.0,18.0,narrow,1.602046200001496
01,2,6,2,25.0,21.0,narrow,1.3350514999983716
01,2,6,3,12.0,15.0,narrow,1.0180168000006231
01,2,6,4,21.0,23.0,narrow,0.6506975999982387
01,2,6,5,20.0,22.0,narrow,0.9679832000001624
01,2,6,6,16.0,18.0,narrow,1.866529900002206
01,2,6,7,23.0,21.0,narrow,0.7841466999998374
01,2,6,8,13.0,16.0,narrow,0.3329400999973586
01,2,6,9,17.0,18.0,narrow,1.100938399998995
01,2,6,10,15.0,18.0,narrow,0.0666358000016771
01,2,6,11,21.0,20.0,narrow,0.0335436000023037
01,2,6,12,18.0,19.0,narrow,0.6841055999975652
01,2,6,13,13.0,15.0,narrow,0.7010478999982297
01,2,6,14,14.0,17.0,narrow,1.4511480999972264
01,2,6,15,23.0,23.0,narrow,1.0312245999994047
01,2,6,16,17.0,19.0,narrow,1.2678464999989956
01,2,6,17,12.0,17.0,narrow,0.38049989999854
01,2,6,18,10.0,14.0,narrow,0.3633354000012332
