subject,format,run,trial_nr,p1,p2,n1,n2,choice
2,symbolic,4,146,1.0,0.55,7,9,False
2,symbolic,4,147,1.0,0.55,14,20,True
2,symbolic,4,148,1.0,0.55,5,6,False
2,symbolic,4,149,1.0,0.55,5,20,True
2,symbolic,4,150,1.0,0.55,20,57,True
2,symbolic,4,151,1.0,0.55,5,20,True
2,symbolic,4,152,1.0,0.55,10,28,True
2,symbolic,4,153,1.0,0.55,20,28,False
2,symbolic,4,154,1.0,0.55,28,33,False
2,symbolic,4,155,1.0,0.55,28,67,True
2,symbolic,4,156,1.0,0.55,20,24,False
2,symbolic,4,157,1.0,0.55,20,80,True
2,symbolic,4,158,1.0,0.55,10,17,False
2,symbolic,4,159,1.0,0.55,14,56,True
2,symbolic,4,160,1.0,0.55,5,7,False
2,symbolic,4,161,1.0,0.55,7,12,False
2,symbolic,4,162,1.0,0.55,10,28,True
2,symbolic,4,163,1.0,0.55,14,15,False
2,symbolic,4,164,1.0,0.55,7,9,False
2,symbolic,4,165,1.0,0.55,14,17,True
2,symbolic,4,166,1.0,0.55,10,28,True
2,symbolic,4,167,1.0,0.55,28,33,False
2,symbolic,4,168,1.0,0.55,28,33,False
2,symbolic,4,169,1.0,0.55,28,47,False
2,symbolic,4,170,1.0,0.55,5,7,False
2,symbolic,4,171,1.0,0.55,14,47,True
2,symbolic,4,172,1.0,0.55,10,28,True
2,symbolic,4,173,1.0,0.55,7,24,True
2,symbolic,4,174,1.0,0.55,20,21,False
2,symbolic,4,175,1.0,0.55,5,7,False
2,symbolic,4,176,1.0,0.55,14,33,True
2,symbolic,4,177,1.0,0.55,28,67,True
2,symbolic,4,178,1.0,0.55,7,28,True
2,symbolic,4,179,1.0,0.55,28,79,True
2,symbolic,4,180,1.0,0.55,7,12,False
2,symbolic,4,181,1.0,0.55,28,56,True
2,symbolic,4,182,1.0,0.55,20,80,True
2,symbolic,4,183,1.0,0.55,5,7,False
2,symbolic,4,184,1.0,0.55,14,56,True
2,symbolic,4,185,1.0,0.55,20,28,False
2,symbolic,4,186,1.0,0.55,20,57,True
2,symbolic,4,187,1.0,0.55,7,8,False
2,symbolic,4,188,1.0,0.55,10,24,True
2,symbolic,4,189,1.0,0.55,14,56,True
2,symbolic,4,190,1.0,0.55,5,6,False
2,symbolic,4,191,1.0,0.55,10,24,True
2,symbolic,4,192,1.0,0.55,10,28,True
2,symbolic,5,193,1.0,0.55,20,28,False
2,symbolic,5,194,1.0,0.55,5,14,True
2,symbolic,5,195,1.0,0.55,20,28,False
2,symbolic,5,196,1.0,0.55,14,20,False
2,symbolic,5,197,1.0,0.55,10,20,True
2,symbolic,5,198,1.0,0.55,28,47,False
2,symbolic,5,199,1.0,0.55,28,30,False
2,symbolic,5,200,1.0,0.55,20,80,True
2,symbolic,5,201,1.0,0.55,14,17,False
2,symbolic,5,202,1.0,0.55,14,56,True
2,symbolic,5,203,1.0,0.55,10,34,True
2,symbolic,5,204,1.0,0.55,7,17,True
2,symbolic,5,205,1.0,0.55,7,8,False
2,symbolic,5,206,1.0,0.55,28,40,False
2,symbolic,5,207,1.0,0.55,5,12,True
2,symbolic,5,208,1.0,0.55,7,24,True
2,symbolic,5,209,1.0,0.55,10,12,True
2,symbolic,5,210,1.0,0.55,28,79,True
2,symbolic,5,211,1.0,0.55,20,48,True
2,symbolic,5,212,1.0,0.55,5,8,False
2,symbolic,5,213,1.0,0.55,14,16,False
2,symbolic,5,214,1.0,0.55,5,12,True
2,symbolic,5,215,1.0,0.55,7,20,True
2,symbolic,5,216,1.0,0.55,10,12,False
2,symbolic,5,217,1.0,0.55,20,28,False
2,symbolic,5,218,1.0,0.55,5,14,True
2,symbolic,5,219,1.0,0.55,20,28,False
2,symbolic,5,220,1.0,0.55,14,20,False
2,symbolic,5,221,1.0,0.55,10,20,True
2,symbolic,5,222,1.0,0.55,28,47,False
2,symbolic,5,223,1.0,0.55,28,30,False
2,symbolic,5,224,1.0,0.55,20,80,True
2,symbolic,5,225,1.0,0.55,14,17,False
2,symbolic,5,226,1.0,0.55,14,56,True
2,symbolic,5,227,1.0,0.55,10,34,True
