subject,session,mapping,run,trial_nr,orientation,value,reward,response,response_time
2,1,cdf,7,161,15.0,8.0,44.0,9.0,1.8865255000000616
2,1,cdf,8,162,172.5,38.5,61.0,38.0,1.8395341000000371
2,1,cdf,8,163,37.5,11.5,42.0,14.5,2.004412700000102
2,1,cdf,8,164,135.0,32.0,62.0,34.0,1.8393294000002245
2,1,cdf,8,165,120.0,31.0,56.5,33.5,1.980819099999735
2,1,cdf,8,166,75.0,16.0,42.0,18.5,2.039590500000031
2,1,cdf,8,167,112.5,30.0,59.0,31.0,1.8747465000001284
2,1,cdf,8,168,60.0,13.0,42.0,14.5,2.2231168999996953
2,1,cdf,8,169,15.0,8.0,42.0,10.0,1.4385886999998547
2,1,cdf,8,170,165.0,36.0,76.0,36.0,2.2290932000000794
2,1,cdf,8,171,67.5,14.0,42.0,16.0,1.5208797000000231
2,1,cdf,8,172,90.0,22.0,42.0,19.0,2.086965400000281
2,1,cdf,8,173,142.5,32.5,66.0,34.5,1.7804251000002296
2,1,cdf,8,174,105.0,28.0,45.5,30.0,2.051392599999872
2,1,cdf,8,175,7.5,5.5,42.0,6.5,2.0869739999998274
2,1,cdf,8,176,97.5,25.5,59.5,25.5,2.2401371999999355
2,1,cdf,8,177,127.5,31.5,42.0,30.5,1.686383400000068
2,1,cdf,8,178,22.5,10.0,42.0,11.5,1.4162536999997428
2,1,cdf,8,179,30.0,11.0,42.0,13.5,2.2294181000002027
2,1,cdf,8,180,150.0,33.0,57.5,36.0,2.455290299999888
2,1,cdf,8,181,45.0,12.0,49.0,14.5,1.664057700000285
2,1,cdf,8,182,82.5,18.5,45.5,18.5,1.8763432000000648
2,1,cdf,8,183,52.5,12.5,42.0,14.5,2.4296322000000146
2,1,cdf,8,184,157.5,34.0,41.0,36.0,2.147581199999877
2,2,inverse_cdf,1,1,150.0,39.0,42.0,28.0,2.7745066000006773
2,2,inverse_cdf,1,2,120.0,25.5,45.0,25.5,2.711758700000246
2,2,inverse_cdf,1,3,37.5,7.5,42.0,11.5,1.593002999999953
2,2,inverse_cdf,1,4,90.0,22.0,53.5,22.0,1.8165694999997868
2,2,inverse_cdf,1,5,112.5,24.0,42.0,22.5,2.593821299999945
2,2,inverse_cdf,1,6,82.5,21.5,42.0,21.5,2.1587546999999176
2,2,inverse_cdf,1,7,52.5,16.0,0.0,,
2,2,inverse_cdf,1,8,165.0,41.0,45.0,41.0,2.251958900000318
2,2,inverse_cdf,1,9,157.5,40.0,44.0,41.0,2.217665000000125
2,2,inverse_cdf,1,10,75.0,21.0,42.0,21.5,2.2755630999999994
2,2,inverse_cdf,1,11,60.0,18.5,42.0,10.5,1.9703927000000476
2,2,inverse_cdf,1,12,30.0,5.0,42.0,4.0,1.7112200999999914
2,2,inverse_cdf,1,13,22.5,4.0,42.0,3.5,1.8511975000001255
2,2,inverse_cdf,1,14,45.0,11.5,42.0,7.5,2.1696876999994856
2,2,inverse_cdf,1,15,127.5,28.0,42.0,25.5,2.370551500000147
2,2,inverse_cdf,1,16,67.5,20.0,42.0,21.0,1.8043139999999769
2,2,inverse_cdf,1,17,15.0,3.0,42.0,3.0,1.9925737999992632
2,2,inverse_cdf,1,18,97.5,22.5,42.0,22.5,2.83205579999958
2,2,inverse_cdf,1,19,172.5,41.5,80.0,41.0,2.346132800000305
2,2,inverse_cdf,1,20,142.5,36.5,0.0,,
2,2,inverse_cdf,1,21,7.5,2.5,42.0,2.5,1.7450610999994751
2,2,inverse_cdf,1,22,105.0,23.0,54.0,25.0,1.9809232999996311
2,2,inverse_cdf,1,23,135.0,32.5,72.0,30.5,1.888019600000007
2,2,inverse_cdf,2,24,60.0,18.5,53.5,19.5,2.2793768999999884
2,2,inverse_cdf,2,25,22.5,4.0,42.0,4.0,2.819957599999725
2,2,inverse_cdf,2,26,157.5,40.0,77.5,39.5,2.0521493999995073
2,2,inverse_cdf,2,27,112.5,24.0,42.0,25.5,1.9932019999996555
2,2,inverse_cdf,2,28,15.0,3.0,43.0,2.5,1.7343475000006947
2,2,inverse_cdf,2,29,127.5,28.0,53.0,26.5,1.7922097999999096
2,2,inverse_cdf,2,30,45.0,11.5,42.0,16.0,2.251058699999703
2,2,inverse_cdf,2,31,7.5,2.5,42.0,2.5,2.0869108000006236
2,2,inverse_cdf,2,32,30.0,5.0,42.0,6.0,2.406540199999654
2,2,inverse_cdf,2,33,82.5,21.5,51.0,21.5,1.497449399999823
2,2,inverse_cdf,2,34,120.0,25.5,42.0,26.0,1.9692759999998088
2,2,inverse_cdf,2,35,105.0,23.0,43.0,23.0,2.1351776999999856
