subject,run,trial_nr,n1,n2,p1,p2,risky_first,choice,rt
100,5.0,237.0,11.95,40.04,1.0,0.55,False,True,0.7805174999998599
100,5.0,239.0,6.58,19.7,1.0,0.55,False,True,1.2048902000001362
100,5.0,241.0,9.75,19.67,1.0,0.55,False,True,0.9691142000001493
100,5.0,243.0,12.54,25.03,1.0,0.55,False,True,0.9455085999998118
100,5.0,245.0,9.67,24.02,1.0,0.55,False,True,0.6744096000002173
100,5.0,247.0,7.94,20.07,1.0,0.55,False,True,0.721560099999806
100,5.0,249.0,24.29,35.65,1.0,0.55,False,False,0.9572382999999718
100,5.0,251.0,11.02,28.7,1.0,0.55,False,True,0.82769559999997
100,5.0,253.0,11.18,16.53,1.0,0.55,False,False,1.6057877000002918
100,5.0,255.0,17.81,70.55,1.0,0.55,False,True,1.039805499999602
100,5.0,226.0,15.11,12.38,0.55,1.0,True,True,0.697988500000065
100,5.0,228.0,9.44,7.06,0.55,1.0,True,True,0.7334803999997348
100,5.0,230.0,42.27,15.45,0.55,1.0,True,False,1.0988219000000754
100,5.0,232.0,30.34,15.23,0.55,1.0,True,True,0.9219039999998132
100,5.0,234.0,49.76,15.69,0.55,1.0,True,False,0.9336475999998584
100,5.0,236.0,60.69,21.79,0.55,1.0,True,False,0.8748759999998583
100,5.0,238.0,37.93,13.31,0.55,1.0,True,False,0.7216255999996974
100,5.0,240.0,35.12,10.74,0.55,1.0,True,False,0.7805530000000545
100,5.0,242.0,32.18,22.36,0.55,1.0,True,True,0.933681400000296
100,5.0,244.0,23.74,10.65,0.55,1.0,True,True,1.499668099999781
100,5.0,246.0,12.59,10.5,0.55,1.0,True,True,0.7687489999998434
100,5.0,248.0,82.97,25.16,0.55,1.0,True,False,1.157768500000202
100,5.0,250.0,20.95,20.57,0.55,1.0,True,True,0.7333590999996886
100,5.0,252.0,13.91,10.59,0.55,1.0,True,True,0.7687679999999091
100,5.0,254.0,23.26,8.26,0.55,1.0,True,False,0.7923811000000569
100,5.0,256.0,39.6,12.56,0.55,1.0,True,False,0.9691606999999748
100,6.0,225.0,21.75,9.4,0.55,1.0,True,True,1.110783099999935
100,6.0,227.0,6.74,5.15,0.55,1.0,True,True,0.7334108000000015
100,6.0,229.0,50.96,25.32,0.55,1.0,True,True,0.7336865000002035
100,6.0,231.0,82.68,26.97,0.55,1.0,True,False,0.7569996000001993
100,6.0,233.0,46.58,14.41,0.55,1.0,True,False,0.8277760000000853
100,6.0,235.0,50.97,16.74,0.55,1.0,True,False,0.9101072000003114
100,6.0,237.0,31.1,8.13,0.55,1.0,True,False,0.8514764999999898
100,6.0,239.0,36.42,11.18,0.55,1.0,True,False,1.3462749999998778
100,6.0,241.0,17.81,6.15,0.55,1.0,True,False,0.8512875000001259
100,6.0,243.0,100.38,27.12,0.55,1.0,True,False,0.7216062999996211
100,6.0,245.0,27.26,12.11,0.55,1.0,True,True,0.8866500999997697
100,6.0,247.0,51.24,21.41,0.55,1.0,True,False,0.7570004000003792
100,6.0,249.0,12.91,9.33,0.55,1.0,True,True,0.8749041000000943
100,6.0,251.0,20.2,7.41,0.55,1.0,True,False,0.7570400999998128
100,6.0,253.0,14.62,7.06,0.55,1.0,True,True,0.9219210999999632
100,6.0,255.0,45.19,14.7,0.55,1.0,True,True,0.7452408999997715
100,6.0,226.0,14.64,44.92,1.0,0.55,False,True,0.7216757999999572
100,6.0,228.0,12.77,44.99,1.0,0.55,False,True,0.6745206999999027
100,6.0,230.0,22.09,36.35,1.0,0.55,False,False,0.8042093999997633
100,6.0,232.0,10.88,30.8,1.0,0.55,False,True,0.7098547000000508
100,6.0,234.0,8.0,11.7,1.0,0.55,False,False,0.7924067000003561
100,6.0,236.0,13.54,31.99,1.0,0.55,False,True,0.7099278999999115
100,6.0,238.0,5.04,10.78,1.0,0.55,False,True,0.8631806999997025
100,6.0,240.0,13.05,35.2,1.0,0.55,False,True,0.7570365999999922
100,6.0,242.0,20.03,67.84,1.0,0.55,False,True,0.6980545999999777
100,6.0,244.0,19.96,30.72,1.0,0.55,False,False,0.7688414999997804
100,6.0,246.0,19.45,35.56,1.0,0.55,False,False,0.7688378000002558
100,6.0,248.0,5.88,16.43,1.0,0.55,False,True,0.7099061999997502
100,6.0,250.0,5.83,18.14,1.0,0.55,False,True,0.686294000000089
100,6.0,252.0,16.47,17.61,1.0,0.55,False,False,1.087076799999977
100,6.0,254.0,6.17,12.75,1.0,0.55,False,True,1.0517162999999528
100,6.0,256.0,23.27,51.46,1.0,0.55,False,True,1.098853500000132
100,7.0,225.0,77.33,19.46,0.55,1.0,True,False,1.0989441000001534
100,7.0,227.0,61.78,16.89,0.55,1.0,True,False,1.393649699999969
100,7.0,229.0,63.44,19.47,0.55,1.0,True,False,0.70993210000006
100,7.0,231.0,41.78,11.23,0.55,1.0,True,False,0.90086059999976
