subject,session,run,trial_nr,n1,n2,p1,p2,choice,rt
02,7t2,1,16,5.0,9.0,1.0,0.55,False,1.1253642999799922
02,7t2,1,17,5.0,13.0,1.0,0.55,True,1.2246115000452846
02,7t2,1,18,5.0,8.0,1.0,0.55,False,1.574624600005336
02,7t2,1,19,28.0,60.0,1.0,0.55,False,1.2060591999907049
02,7t2,1,20,20.0,70.0,1.0,0.55,True,0.854624799976591
02,7t2,1,21,7.0,13.0,1.0,0.55,False,1.708311499969625
02,7t2,1,22,5.0,10.0,1.0,0.55,True,1.491633300029207
02,7t2,1,23,10.0,31.0,1.0,0.55,True,0.9593069999828004
02,7t2,1,24,5.0,14.0,1.0,0.55,True,1.6412032000371255
02,7t2,2,25,7.0,15.0,1.0,0.55,True,0.8437538999714818
02,7t2,2,26,28.0,98.0,1.0,0.55,True,1.8453335000085644
02,7t2,2,27,20.0,35.0,1.0,0.55,False,1.3241735000047117
02,7t2,2,28,20.0,63.0,1.0,0.55,True,1.0224715000367866
02,7t2,2,29,7.0,15.0,1.0,0.55,False,2.192218700016383
02,7t2,2,30,7.0,16.0,1.0,0.55,True,1.6575739000109024
02,7t2,2,31,20.0,47.0,1.0,0.55,True,0.9242301999474876
02,7t2,2,32,28.0,80.0,1.0,0.55,True,0.8998988000093959
02,7t2,2,33,14.0,27.0,1.0,0.55,True,1.1580196000286378
02,7t2,2,34,20.0,57.0,1.0,0.55,True,0.874872799962759
02,7t2,2,35,5.0,15.0,1.0,0.55,True,0.9758334000362084
02,7t2,2,36,14.0,36.0,1.0,0.55,True,1.6079879999742843
02,7t2,2,37,52.0,20.0,0.55,1.0,True,1.3240537999663218
02,7t2,2,38,30.0,14.0,0.55,1.0,True,1.5914764999761246
02,7t2,2,39,17.0,5.0,0.55,1.0,True,1.3733373999712055
02,7t2,2,40,15.0,7.0,0.55,1.0,True,1.9573260000325376
02,7t2,2,41,20.0,7.0,0.55,1.0,False,1.1084886000026015
02,7t2,2,42,70.0,20.0,0.55,1.0,False,1.0587710000108927
02,7t2,2,43,10.0,5.0,0.55,1.0,False,1.290773899992928
02,7t2,2,44,21.0,10.0,0.55,1.0,False,1.2914514000294162
02,7t2,2,45,18.0,7.0,0.55,1.0,False,0.942649299977404
02,7t2,2,46,21.0,10.0,0.55,1.0,False,1.357523399987258
02,7t2,2,47,33.0,14.0,0.55,1.0,False,1.2408959000023287
02,7t2,2,48,10.0,5.0,0.55,1.0,False,1.2093821999732768
02,7t2,3,49,33.0,14.0,0.55,1.0,False,1.5489878000225872
02,7t2,3,50,8.0,5.0,0.55,1.0,True,0.9579082999844104
02,7t2,3,51,31.0,10.0,0.55,1.0,True,1.0087244999594702
02,7t2,3,52,26.0,10.0,0.55,1.0,False,1.6917538000270582
02,7t2,3,53,13.0,5.0,0.55,1.0,False,1.1745319999754429
02,7t2,3,54,24.0,14.0,0.55,1.0,True,1.757229199982234
02,7t2,3,55,54.0,28.0,0.55,1.0,False,0.9074028999893926
02,7t2,3,56,80.0,28.0,0.55,1.0,False,0.890153399959658
02,7t2,3,57,40.0,14.0,0.55,1.0,False,1.207338500011332
02,7t2,3,58,35.0,20.0,0.55,1.0,True,1.0577850000117903
02,7t2,3,59,14.0,5.0,0.55,1.0,True,1.2403858000179468
02,7t2,3,60,22.0,7.0,0.55,1.0,False,1.0248650999856466
02,7t2,3,61,14.0,40.0,1.0,0.55,True,1.4428287000047249
02,7t2,3,62,7.0,24.0,1.0,0.55,False,1.757099099981161
02,7t2,3,63,20.0,52.0,1.0,0.55,True,0.8393644000170752
02,7t2,3,64,14.0,44.0,1.0,0.55,True,0.925739799975446
02,7t2,3,65,28.0,98.0,1.0,0.55,True,0.8943302999832667
02,7t2,3,66,14.0,49.0,1.0,0.55,True,1.0261564999818802
02,7t2,3,67,28.0,54.0,1.0,0.55,True,0.9902817999827676
02,7t2,3,68,10.0,28.0,1.0,0.55,True,1.175503199978266
02,7t2,3,69,20.0,35.0,1.0,0.55,True,1.440444900014029
02,7t2,3,70,10.0,31.0,1.0,0.55,True,0.857431299984512
02,7t2,3,71,10.0,17.0,1.0,0.55,True,1.442093499994371
02,7t2,3,72,14.0,33.0,1.0,0.55,True,0.8912482000305317
02,7t2,4,73,7.0,20.0,1.0,0.55,True,0.6438498999923468
02,7t2,4,74,10.0,17.0,1.0,0.55,False,1.5754490999970585
02,7t2,4,75,28.0,54.0,1.0,0.55,True,1.1069802999845706
02,7t2,4,76,7.0,18.0,1.0,0.55,False,1.0729696000344262
02,7t2,4,77,7.0,22.0,1.0,0.55,True,1.2575182000291392
02,7t2,4,78,5.0,13.0,1.0,0.55,True,0.674522600020282
02,7t2,4,79,10.0,23.0,1.0,0.55,True,1.2429336999775558
02,7t2,4,80,20.0,47.0,1.0,0.55,True,0.8732853999826915
02,7t2,4,81,7.0,22.0,1.0,0.55,True,0.9239912999910302
02,7t2,4,82,20.0,63.0,1.0,0.55,True,0.8043346999911876
02,7t2,4,83,10.0,23.0,1.0,0.55,False,0.9090802000137046
02,7t2,4,84,10.0,26.0,1.0,0.55,True,1.3586383999790996
02,7t2,4,85,19.0,10.0,0.55,1.0,False,1.2239447000320354
02,7t2,4,86,14.0,5.0,0.55,1.0,False,0.8087205999764251
02,7t2,4,87,49.0,14.0,0.55,1.0,False,0.4915863999631256
02,7t2,4,88,9.0,5.0,0.55,1.0,True,1.6588545000413717
02,7t2,4,89,80.0,28.0,0.55,1.0,False,1.1253265999839923
02,7t2,4,90,27.0,14.0,0.55,1.0,True,1.7397240999853238
02,7t2,4,91,38.0,20.0,0.55,1.0,True,1.2076403999817558
02,7t2,4,92,38.0,20.0,0.55,1.0,False,
02,7t2,4,93,44.0,14.0,0.55,1.0,False,0.4915763000026345
02,7t2,4,94,22.0,7.0,0.55,1.0,False,1.1239580000401477
02,7t2,4,95,13.0,7.0,0.55,1.0,False,0.8753211000002921
02,7t2,4,96,60.0,28.0,0.55,1.0,False,0.908506599953398
02,7t2,5,97,14.0,24.0,1.0,0.55,True,1.251197699981276
02,7t2,5,98,28.0,66.0,1.0,0.55,True,1.0712734999833629
02,7t2,5,99,5.0,14.0,1.0,0.55,True,0.5753486000467092
02,7t2,5,100,7.0,16.0,1.0,0.55,True,1.140743300027694
02,7t2,5,101,20.0,70.0,1.0,0.55,True,0.6053926000022471
02,7t2,5,102,10.0,21.0,1.0,0.55,True,0.9245923999697254
02,7t2,5,103,5.0,17.0,1.0,0.55,True,0.7586279999813996
02,7t2,5,104,28.0,89.0,1.0,0.55,True,0.5642236000276171
02,7t2,5,105,5.0,10.0,1.0,0.55,False,0.8921477000112645
02,7t2,5,106,20.0,42.0,1.0,0.55,True,0.990266799984994
02,7t2,5,107,7.0,20.0,1.0,0.55,True,0.9421159999911026
02,7t2,5,108,28.0,80.0,1.0,0.55,True,0.6973205000394955
02,7t2,5,109,15.0,5.0,0.55,1.0,False,0.8904843999771117
02,7t2,5,110,57.0,20.0,0.55,1.0,True,1.4251635000109673
02,7t2,5,111,47.0,20.0,0.55,1.0,True,1.0248479000292434
02,7t2,5,112,49.0,28.0,0.55,1.0,True,1.3737357999781068
02,7t2,5,113,42.0,20.0,0.55,1.0,True,1.5906123999739066
02,7t2,5,114,13.0,7.0,0.55,1.0,False,0.8905690999818034
02,7t2,5,115,15.0,7.0,0.55,1.0,False,0.9920641999924557
02,7t2,5,116,27.0,14.0,0.55,1.0,True,0.8422985000069616
02,7t2,5,117,40.0,14.0,0.55,1.0,False,0.8569018999696709
02,7t2,5,118,35.0,10.0,0.55,1.0,False,1.4253376999986926
02,7t2,5,119,26.0,10.0,0.55,1.0,False,0.9753886000252692
02,7t2,5,120,49.0,28.0,0.55,1.0,False,1.1074253999977373
02,7t2,6,121,89.0,28.0,0.55,1.0,False,0.9112550999852828
02,7t2,6,122,20.0,7.0,0.55,1.0,False,0.7092709999997169
02,7t2,6,123,8.0,5.0,0.55,1.0,True,0.6752070999937132
02,7t2,6,124,49.0,14.0,0.55,1.0,False,1.3919772999943234
02,7t2,6,125,36.0,14.0,0.55,1.0,False,1.2575585999875187
02,7t2,6,126,16.0,7.0,0.55,1.0,False,1.3589802000205964
02,7t2,6,127,31.0,10.0,0.55,1.0,False,0.8401831000228412
02,7t2,6,128,36.0,14.0,0.55,1.0,False,0.8919467999949262
02,7t2,6,129,16.0,7.0,0.55,1.0,False,1.2900311999837868
02,7t2,6,130,28.0,10.0,0.55,1.0,False,0.7244900000514463
02,7t2,6,131,57.0,20.0,0.55,1.0,False,0.557513399980877
02,7t2,6,132,24.0,14.0,0.55,1.0,True,0.974782100005541
02,7t2,6,133,20.0,38.0,1.0,0.55,True,1.2581517999642529
02,7t2,6,134,14.0,49.0,1.0,0.55,True,1.0586273000226356
02,7t2,6,135,28.0,66.0,1.0,0.55,True,0.8870846999925561
